target_variable,season,model_name,training_sample,weighting_column,parameters,intercept,coefficient
away_corners_against_mean_premier,2002,Baseline,Promoted,unweighted,{},6.087719298245614,0.0
away_corners_against_mean_premier,2003,Ridge,Promoted,unweighted,{'alpha': 0.0001},4.677310905596146,0.3030820782998569
away_corners_against_mean_premier,2004,Baseline,Promoted,unweighted,{},6.52046783625731,0.0
away_corners_against_mean_premier,2005,Ridge,Promoted & Relegated,1_season_half_life_weight,{'alpha': 1000.0},6.835578686664044,0.00861931528301
away_corners_against_mean_premier,2006,Baseline,Promoted,unweighted,{},6.578947368421054,0.0
away_corners_against_mean_premier,2007,Baseline,Promoted,unweighted,{},6.590643274853801,0.0
away_corners_against_mean_premier,2008,Baseline,Promoted,unweighted,{},6.55388471177945,0.0
away_corners_against_mean_premier,2009,Baseline,Promoted,unweighted,{},6.614035087719298,0.0
away_corners_against_mean_premier,2010,Baseline,Promoted,unweighted,{},6.588693957115009,0.0
away_corners_against_mean_premier,2011,Baseline,Promoted,unweighted,{},6.564912280701752,0.0
away_corners_against_mean_premier,2012,Baseline,Promoted,unweighted,{},6.647527910685805,0.0
away_corners_against_mean_premier,2013,Baseline,Promoted,unweighted,{},6.659356725146199,0.0
away_corners_against_mean_premier,2014,Baseline,Promoted,unweighted,{},6.705802968960864,0.0
away_corners_against_mean_premier,2015,Average,Promoted & Relegated,1_season_half_life_weight,{'strategy': 'mean'},7.24018050375282,0.0
away_corners_against_mean_premier,2016,Baseline,Promoted,unweighted,{},6.71812865497076,0.0
away_corners_against_mean_premier,2017,Baseline,Promoted,unweighted,{},6.735745614035086,0.0
away_corners_against_mean_premier,2018,Baseline,Promoted,unweighted,{},6.735810113519092,0.0
away_corners_against_mean_premier,2019,Baseline,Promoted,unweighted,{},6.7270955165692,0.0
away_corners_against_mean_premier,2020,Baseline,Promoted,unweighted,{},6.749769159741459,0.0
away_corners_for_mean_premier,2002,Baseline,Promoted,unweighted,{},5.2105263157894735,0.0
away_corners_for_mean_premier,2003,Ridge,Promoted & Relegated,unweighted,{'alpha': 0.0001},0.021911637325604,0.8512878589778862
